t theta theta1 theta2 omega omega1 omega2
0.740000 -1.66215 2.13891 2.25961 -5.22425 0.230772 1.36032
0.750000 -4.44878 2.21765 2.98537 -4.47402 0.0367991 1.16568
0.760000 -6.7821 2.17951 3.59372 -3.67889 -0.16763 0.960109
0.770000 -8.67963 2.0297 4.08969 -2.95974 -0.351254 0.775209
0.780000 -10.1901 1.78145 4.48649 -2.32548 -0.511771 0.61339
0.790000 -11.3571 1.44672 4.79606 -1.7574 -0.654095 0.469757
0.800000 -12.2126 1.03434 5.02721 -1.23479 -0.783705 0.338816
0.810000 -12.7773 0.550182 5.18582 -0.739944 -0.905344 0.2158
0.820000 -13.0629 -0.00236062 5.27523 -0.257931 -1.02305 0.096631
0.830000 -13.0728 -0.622079 5.29659 0.224503 -1.14041 -0.0223577
0.840000 -12.8031 -1.30977 5.24897 0.720009 -1.26088 -0.144707
0.850000 -12.2428 -2.06819 5.12944 1.24126 -1.38788 -0.274002
0.860000 -11.3735 -2.90203 4.93298 1.80041 -1.52462 -0.413763
0.870000 -10.1709 -3.81755 4.6528 2.40524 -1.6731 -0.566471
0.880000 -8.61019 -4.82105 4.28168 3.04571 -1.83051 -0.730171
0.890000 -6.68511 -5.91391 3.81672 3.65978 -1.98041 -0.889642
0.900000 -4.45162 -7.08113 3.2707 4.08666 -2.08092 -1.00399
0.910000 -2.0788 -8.27859 2.6855 4.11932 -2.07926 -1.01926
0.920000 0.187342 -9.44302 2.12359 3.73461 -1.97116 -0.927587
0.930000 2.15897 -10.5271 1.63349 3.12944 -1.80856 -0.778298
0.940000 3.76687 -11.5142 1.23359 2.486 -1.63837 -0.618211
0.950000 5.01548 -12.4068 0.923182 1.88126 -1.47982 -0.467522
0.960000 5.93305 -13.2129 0.69522 1.33043 -1.33619 -0.33044
0.970000 6.54915 -13.9404 0.542205 0.827168 -1.20534 -0.205473
0.980000 6.88786 -14.5959 0.457997 0.360288 -1.08397 -0.0897694
0.990000 6.96686 -15.1838 0.43811 -0.0810944 -0.968919 0.0194969
1.000000 6.79799 -15.7069 0.479582 -0.506393 -0.857432 0.124789
1.010000 6.38814 -16.1665 0.580744 -0.923495 -0.74717 0.228165
1.020000 5.74008 -16.5629 0.740991 -1.33881 -0.636168 0.331269
1.030000 4.85341 -16.8951 0.96052 -1.75699 -0.522904 0.435235
1.040000 3.72578 -17.1615 1.23997 -2.17993 -0.406533 0.540402
1.050000 2.35503 -17.3604 1.57981 -2.60449 -0.287485 0.645694
1.060000 0.743216 -17.4909 1.97925 -3.01828 -0.168562 0.74753
1.070000 -1.09648 -17.5549 2.43435 -3.39379 -0.0565334 0.838358
1.080000 -3.12974 -17.5593 2.93552 -3.68493 0.0367586 0.905955
1.090000 -5.29225 -17.5192 3.46532 -3.83615 0.0964889 0.936129
1.100000 -7.49163 -17.4572 3.99937 -3.81093 0.11209 0.92029
1.110000 -9.62713 -17.399 4.51175 -3.61891 0.0846768 0.862182
1.120000 -11.6161 -17.3662 4.98189 -3.30905 0.025936 0.775483
1.130000 -13.4074 -17.3725 5.39782 -2.93756 -0.0499013 0.675167
1.140000 -14.9784 -17.4245 5.75502 -2.54543 -0.132074 0.571805
1.150000 -16.3247 -17.5239 6.05356 -2.15526 -0.214414 0.470978
1.160000 -17.4505 -17.6697 6.29564 -1.77676 -0.2941 0.374865
1.170000 -18.3634 -17.8602 6.4841 -1.4125 -0.37023 0.283802
1.180000 -19.0716 -18.0933 6.62172 -1.06166 -0.442861 0.197263
1.190000 -19.5821 -18.3671 6.71084 -0.721989 -0.512476 0.114375
1.200000 -19.9006 -18.6801 6.75329 -0.390823 -0.579701 0.0341761
1.210000 -20.0311 -19.0311 6.75034 -0.0655842 -0.645164 -0.0442725
1.220000 -19.9765 -19.4192 6.70273 0.255949 -0.709408 -0.121816
1.230000 -19.7382 -19.8438 6.61079 0.575398 -0.77281 -0.199152
1.240000 -19.3173 -20.3046 6.47447 0.89347 -0.835494 -0.276756
1.250000 -18.7148 -20.8011 6.29357 1.20948 -0.89719 -0.354754
1.260000 -17.9323 -21.3324 6.06795 1.52061 -0.957045 -0.432738
1.270000 -16.9743 -21.8971 5.79792 1.82094 -1.01337 -0.509487
1.280000 -15.8496 -22.4924 5.48479 2.10036 -1.06339 -0.582656
1.290000 -14.5743 -23.1137 5.13162 2.34402 -1.10314 -0.648568
1.300000 -13.1739 -23.7536 4.7439 2.53335 -1.12785 -0.702388
1.310000 -11.6852 -24.4024 4.33003 2.64983 -1.13298 -0.739024
