t theta theta1 theta2 omega omega1 omega2
38.170000 4.71123 29.4421 -1.21818 -1.96949 0.485571 0.497387
38.180000 3.64746 29.6977 -0.948769 -1.74189 0.406296 0.442444
38.190000 2.71674 29.9076 -0.711689 -1.50602 0.326272 0.384794
38.200000 1.92239 30.0716 -0.508093 -1.26641 0.246497 0.325736
38.210000 1.26576 30.1902 -0.338542 -1.0256 0.167444 0.266047
38.220000 0.747135 30.2637 -0.203267 -0.784766 0.0892287 0.206129
38.230000 0.366436 30.2926 -0.102351 -0.544149 0.0117343 0.146122
38.240000 0.123609 30.2772 -0.0358463 -0.303406 -0.0653033 0.085996
38.250000 0.0189166 30.2178 -0.00385529 -0.0618274 -0.142239 0.0256162
38.260000 0.0530939 30.1142 -0.00657827 0.181503 -0.219481 -0.0352144
38.270000 0.227429 29.9661 -0.0443359 0.427583 -0.297458 -0.096714
38.280000 0.543775 29.7731 -0.117571 0.67736 -0.376594 -0.159083
38.290000 1.00447 29.5343 -0.226824 0.931565 -0.457267 -0.222454
38.300000 1.61217 29.2487 -0.372675 1.19045 -0.539741 -0.286817
38.310000 2.36942 28.9154 -0.555633 1.45339 -0.624068 -0.351908
38.320000 3.27801 28.5333 -0.775944 1.71821 -0.709916 -0.417038
38.330000 4.33783 28.1018 -1.03328 1.98023 -0.796306 -0.480845
38.340000 5.54508 27.6211 -1.32626 2.23102 -0.881266 -0.54099
38.350000 6.88972 27.0929 -1.65183 2.45714 -0.961463 -0.593891
38.360000 8.3525 26.5212 -2.00451 2.63994 -1.03206 -0.634734
38.370000 9.90243 25.9132 -2.37585 2.7577 -1.0872 -0.658147
38.380000 11.4965 25.2793 -2.7545 2.79134 -1.12146 -0.659715
38.390000 13.0832 24.6327 -3.12732 2.73174 -1.13178 -0.637805
38.400000 14.6099 23.9869 -3.48126 2.58386 -1.11882 -0.594441
38.410000 16.0303 23.3543 -3.80531 2.3643 -1.08641 -0.534438
38.420000 17.3095 22.7446 -4.09159 2.09424 -1.03989 -0.463497
38.430000 18.4242 22.1644 -4.33531 1.79299 -0.984292 -0.38656
38.440000 19.3609 21.6177 -4.53409 1.47485 -0.923487 -0.307095
38.450000 20.1128 21.1067 -4.68712 1.14878 -0.859975 -0.227116
38.460000 20.6768 20.6325 -4.79442 0.819506 -0.795135 -0.147514
38.470000 21.0516 20.1957 -4.85626 0.488753 -0.729531 -0.0684126
38.480000 21.2365 19.7966 -4.87284 0.156285 -0.66318 0.010557
38.490000 21.2301 19.4359 -4.84406 -0.179423 -0.595734 0.0900821
38.500000 21.0298 19.1143 -4.76934 -0.520761 -0.526607 0.171062
38.510000 20.6317 18.8329 -4.64756 -0.870707 -0.455056 0.254544
38.520000 20.0298 18.5935 -4.47696 -1.23259 -0.380261 0.34167
38.530000 19.2163 18.398 -4.25511 -1.60973 -0.301438 0.433589
38.540000 18.1818 18.2489 -3.979 -2.00461 -0.218071 0.531261
38.550000 16.9158 18.1489 -3.64517 -2.41711 -0.130395 0.635002
38.560000 15.4098 18.1 -3.2504 -2.84085 -0.0403604 0.743527
38.570000 13.6619 18.1021 -2.79309 -3.25647 0.0466676 0.852173
38.580000 11.6873 18.1508 -2.27581 -3.62292 0.119796 0.950497
38.590000 9.53206 18.2336 -1.70911 -3.87524 0.162367 1.02143
38.600000 7.28148 18.3278 -1.11411 -3.94666 0.157999 1.04677
38.610000 5.04906 18.4046 -0.519863 -3.81341 0.102018 1.019
38.620000 2.9435 18.437 0.045097 -3.51427 0.00572893 0.94712
38.630000 1.04055 18.407 0.56038 -3.11752 -0.112671 0.848543
38.640000 -0.621347 18.3065 1.01528 -2.68027 -0.238519 0.738362
38.650000 -2.02946 18.1338 1.40601 -2.23528 -0.363726 0.625527
38.660000 -3.18399 17.8904 1.73235 -1.79627 -0.485175 0.513988
38.670000 -4.08954 17.5787 1.99544 -1.36603 -0.602539 0.404735
38.680000 -4.75053 17.2006 2.19648 -0.941854 -0.716875 0.297204
38.690000 -5.16894 16.7574 2.33608 -0.518208 -0.829926 0.190026
38.700000 -5.34309 16.2494 2.41394 -0.0878999 -0.943844 0.081338
38.710000 -5.26675 15.6752 2.42857 0.357728 -1.06116 -0.0311369
38.720000 -4.92828 15.0322 2.37702 0.828996 -1.18483 -0.150117
38.730000 -4.30957 14.3156 2.25469 1.33811 -1.31834 -0.278799
38.740000 -3.38512 13.5189 2.05503 1.89848 -1.46552 -0.420647
38.750000 -2.12222 12.633 1.76964 2.52039 -1.62949 -0.578228
38.760000 -0.486583 11.6486 1.38982 3.19468 -1.80846 -0.748947
38.770000 1.53544 10.5611 0.912356 3.84771 -1.98403 -0.913492
38.780000 3.88084 9.38543 0.353917 4.27928 -2.10474 -1.02033
38.790000 6.34907 8.17225 -0.233761 4.24997 -2.10783 -1.00904
38.800000 8.66504 6.99227 -0.780703 3.77978 -1.99684 -0.886592
38.810000 10.6439 5.89362 -1.24088 3.11463 -1.8347 -0.716838
38.820000 12.2323 4.89044 -1.60211 2.43546 -1.66846 -0.545825
38.830000 13.4442 3.97928 -1.86911 1.80424 -1.51451 -0.388802
38.840000 14.3101 3.15226 -2.0505 1.22663 -1.37447 -0.246646
38.850000 14.8579 2.40215 -2.15394 0.691355 -1.24539 -0.116006
38.860000 15.1077 1.72379 -2.18486 0.183976 -1.12341 0.00719351
38.870000 15.0713 1.11419 -2.14637 -0.309649 -1.00471 0.126901
38.880000 14.7528 0.572558 -2.03938 -0.803236 -0.885549 0.246919
38.890000 14.1482 0.100249 -1.86262 -1.31095 -0.762059 0.371136
38.900000 13.2449 -0.299058 -1.61247 -1.84857 -0.62996 0.503835
38.910000 12.0207 -0.619043 -1.28271 -2.43459 -0.484283 0.64995
38.920000 10.4419 -0.850353 -0.864081 -3.08964 -0.319513 0.814907
38.930000 8.46396 -0.980707 -0.344507 -3.82875 -0.131613 1.00254
38.940000 6.04241 -0.997761 0.287994 -4.62662 0.0730113 1.20603
38.950000 3.18055 -0.901449 1.03279 -5.31969 0.252249 1.38253
38.960000 0.0368993 -0.731729 1.84882 -5.54483 0.312315 1.43777
38.970000 -3.04621 -0.576193 2.64752 -5.1264 0.207245 1.32683
38.980000 -5.77415 -0.510551 3.35306 -4.37305 0.0160294 1.13028
38.990000 -8.05415 -0.558586 3.94216 -3.59488 -0.181228 0.9287
39.000000 -9.90894 -0.714126 4.42152 -2.89428 -0.357779 0.748624
39.010000 -11.3866 -0.964314 4.80438 -2.27605 -0.512194 0.591202
39.020000 -12.5293 -1.29773 5.10237 -1.72176 -0.649206 0.451498
39.030000 -13.368 -1.70591 5.32412 -1.21177 -0.773948 0.324231
39.040000 -13.9232 -2.18312 5.47542 -0.729497 -0.890828 0.204884
39.050000 -14.2066 -2.72593 5.55969 -0.261139 -1.00355 0.08965
39.060000 -14.2228 -3.33292 5.5783 0.205247 -1.11534 -0.0248214
39.070000 -13.9697 -4.00441 5.53079 0.680597 -1.22917 -0.141646
39.080000 -13.4392 -4.74237 5.41496 1.17518 -1.34779 -0.263808
39.090000 -12.6177 -5.55024 5.22695 1.69781 -1.47352 -0.393986
39.100000 -11.4875 -6.43246 4.96165 2.25236 -1.60728 -0.533676
39.110000 -10.0325 -7.39304 4.61397 2.82753 -1.74592 -0.680605
39.120000 -8.25232 -8.43168 4.1825 3.3744 -1.87634 -0.822896
39.130000 -6.1926 -9.53598 3.67732 3.77848 -1.96865 -0.931559
39.140000 -3.97969 -10.6727 3.12923 3.88662 -1.98375 -0.966652
39.150000 -1.80714 -11.7917 2.58703 3.64407 -1.90907 -0.912346
39.160000 0.150591 -12.849 2.09563 3.16419 -1.7753 -0.796186
39.170000 1.8032 -13.8225 1.6789 2.60024 -1.62228 -0.657173
39.180000 3.13166 -14.7087 1.34237 2.04174 -1.47264 -0.518643
39.190000 4.15004 -15.5121 1.08284 1.51994 -1.3338 -0.389014
39.200000 4.88114 -16.2393 0.894657 1.03846 -1.20615 -0.269466
39.210000 5.34662 -16.8961 0.772389 0.591469 -1.08773 -0.158616
39.220000 5.56398 -17.487 0.711619 0.171015 -0.976097 -0.0544598
39.230000 5.5462 -18.0154 0.709079 -0.2305 -0.868968 0.0449564
39.240000 5.3022 -18.4833 0.762556 -0.619654 -0.764338 0.14133
39.250000 4.83745 -18.8915 0.870716 -1.00184 -0.660525 0.236039
39.260000 4.15472 -19.2401 1.03291 -1.3811 -0.556188 0.33008
39.270000 3.25494 -19.5285 1.24893 -1.75969 -0.450443 0.423931
39.280000 2.13848 -19.7559 1.51861 -2.13702 -0.343111 0.517272
39.290000 0.80728 -19.9216 1.84129 -2.50789 -0.235204 0.608498
39.300000 -0.731766 -20.0259 2.21483 -2.85964 -0.129672 0.694017
39.310000 -2.46166 -20.0717 2.6343 -3.1693 -0.0322439 0.767563
39.320000 -4.3491 -20.066 3.09042 -3.40335 0.0483833 0.820319
39.330000 -6.34013 -20.0214 3.56857 -3.52534 0.102311 0.843082
39.340000 -8.36283 -19.9553 4.04974 -3.51211 0.122629 0.830577
39.350000 -10.3396 -19.8873 4.51397 -3.36808 0.109373 0.78494
39.360000 -12.203 -19.8351 4.9445 -3.12285 0.0693469 0.714706
39.370000 -13.9061 -19.8111 5.33026 -2.81483 0.0121005 0.630285
39.380000 -15.4228 -19.8229 5.66569 -2.47643 -0.0539679 0.540151
39.390000 -16.7422 -19.8735 5.94918 -2.12891 -0.123151 0.44964
39.400000 -17.8629 -19.9639 6.18139 -1.78378 -0.192215 0.361465
39.410000 -18.7877 -20.0935 6.36403 -1.44608 -0.259627 0.276638
39.420000 -19.5216 -20.261 6.49905 -1.11718 -0.324866 0.195216
39.430000 -20.0695 -20.4653 6.5883 -0.796523 -0.387956 0.116774
39.440000 -20.4357 -20.7052 6.63331 -0.482694 -0.44918 0.0406805
39.450000 -20.6236 -20.9798 6.63523 -0.174005 -0.508918 -0.0337647
39.460000 -20.6358 -21.2882 6.59481 0.131163 -0.567542 -0.107239
39.470000 -20.4737 -21.63 6.51242 0.434099 -0.625339 -0.180337
39.480000 -20.1386 -22.0047 6.38814 0.735495 -0.68243 -0.253509
39.490000 -19.6313 -22.4118 6.22186 1.0351 -0.738669 -0.326966
39.500000 -18.9531 -22.8509 6.01344 1.3312 -0.79351 -0.400554
39.510000 -18.1072 -23.3206 5.76296 1.61998 -0.845829 -0.473567
39.520000 -17.0994 -23.8193 5.47116 1.89465 -0.893726 -0.544513
39.530000 -15.9407 -24.3434 5.13986 2.14484 -0.934389 -0.6109
39.540000 -14.649 -24.8879 4.77266 2.35661 -0.964163 -0.669187
39.550000 -13.2506 -25.4454 4.37539 2.51403 -0.979038 -0.715127
39.560000 -11.7812 -26.0063 3.95633 2.60285 -0.975637 -0.74466
39.570000 -10.2827 -26.5596 3.52572 2.61507 -0.952404 -0.75516
39.580000 -8.79899 -27.0941 3.09468 2.55216 -0.910307 -0.746373
39.590000 -7.37055 -27.5997 2.67373 2.42441 -0.852537 -0.720436
39.600000 -6.03028 -28.0688 2.2717 2.24715 -0.783404 -0.68098
39.610000 -4.80193 -28.4961 1.8952 2.03619 -0.707137 -0.631975
39.620000 -3.70084 -28.8784 1.54867 1.80484 -0.627146 -0.576885
39.630000 -2.73575 -29.2145 1.2348 1.56279 -0.545799 -0.518327
39.640000 -1.91084 -29.5039 0.955028 1.31633 -0.464541 -0.458069
39.650000 -1.22747 -29.747 0.710002 1.06917 -0.384118 -0.397193
39.660000 -0.685436 -29.9443 0.499882 0.823147 -0.304799 -0.336286
39.670000 -0.283872 -30.0965 0.324604 0.578875 -0.226546 -0.275596
39.680000 -0.0217821 -30.2041 0.184025 0.336221 -0.149135 -0.215153
39.690000 0.101604 -30.2675 0.0780291 0.0945809 -0.0722307 -0.154852
39.700000 0.0866296 -30.2868 0.00658388 -0.146906 0.00456264 -0.0945145
39.710000 -0.0668952 -30.2622 -0.0302284 -0.389217 0.0816679 -0.0339241
39.720000 -0.359725 -30.1931 -0.0322014 -0.633327 0.159507 0.0271299
39.730000 -0.793139 -30.0792 0.00098125 -0.880071 0.238471 0.0888145
39.740000 -1.36882 -29.9196 0.0697073 -1.12997 0.318876 0.1512
39.750000 -2.08858 -29.7135 0.174359 -1.38295 0.400894 0.214181
39.760000 -2.95395 -29.4599 0.315181 -1.6379 0.484438 0.27736
39.770000 -3.96534 -29.1581 0.492069 -1.89203 0.568995 0.339879
39.780000 -5.12089 -28.8079 0.704238 -2.13995 0.653366 0.400186
39.790000 -6.41465 -28.4099 0.949756 -2.37257 0.735362 0.455784
39.800000 -7.83416 -27.9663 1.22495 -2.57628 0.811535 0.503069
39.810000 -9.35794 -27.4819 1.52378 -2.73329 0.877193 0.537496
39.820000 -10.9537 -26.9642 1.83751 -2.82434 0.92704 0.554367
39.830000 -12.5788 -26.4235 2.15501 -2.83408 0.95657 0.550256
39.840000 -14.1846 -25.8723 2.46389 -2.75701 0.963701 0.524438
39.850000 -15.7227 -25.3233 2.75227 -2.59986 0.949583 0.479334
39.860000 -17.1516 -24.7875 3.01036 -2.37857 0.917965 0.419533
39.870000 -18.4398 -24.2738 3.2312 -2.11216 0.873651 0.350152
39.880000 -19.5666 -23.788 3.41061 -1.81761 0.8211 0.275528
39.890000 -20.5196 -23.3338 3.54652 -1.50741 0.76371 0.198691
39.900000 -21.2925 -22.9133 3.63821 -1.18946 0.703704 0.121406
39.910000 -21.882 -22.5277 3.6857 -0.86798 0.642327 0.0444556
39.920000 -22.2868 -22.1774 3.68924 -0.544537 0.580107 -0.0320563
39.930000 -22.5056 -21.8631 3.64899 -0.218953 0.51708 -0.108471
39.940000 -22.537 -21.5851 3.56484 0.110113 0.452956 -0.185417
39.950000 -22.3784 -21.3443 3.43626 0.444763 0.387231 -0.263716
39.960000 -22.0258 -21.1418 3.26221 0.787588 0.319272 -0.344312
39.970000 -21.4738 -20.979 3.04108 1.14139 0.248405 -0.428212
39.980000 -20.7152 -20.8578 2.7707 1.50875 0.174044 -0.516378
39.990000 -19.742 -20.7803 2.4484 1.89117 0.0959359 -0.609516
40.000000 -18.5455 -20.7485 2.07129 2.28725 0.0146358 -0.707614
40.010000 -17.1197 -20.7637 1.63687 2.68936 -0.0676017 -0.809055
40.020000 -15.4662 -20.8251 1.14441 3.07794 -0.145415 -0.909107
40.030000 -13.6023 -20.9276 0.597181 3.41526 -0.208843 -0.998147
40.040000 -11.573 -21.059 0.00551311 3.64572 -0.243707 -1.06152
40.050000 -9.45565 -21.1989 -0.611431 3.7151 -0.236829 -1.08435
40.060000 -7.35048 -21.3216 -1.22806 3.60454 -0.184637 -1.06054
40.070000 -5.35386 -21.4035 -1.81909 3.34452 -0.0961668 -0.997017
40.080000 -3.53577 -21.4278 -2.36569 2.99085 0.013617 -0.90793
40.090000 -1.93486 -21.3863 -2.85714 2.59319 0.131924 -0.806333
40.100000 -0.5666 -21.2765 -3.28892 2.18239 0.251096 -0.700613
40.110000 0.566321 -21.099 -3.66001 1.7731 0.367743 -0.59492
40.120000 1.4664 -20.8557 -3.97093 1.36979 0.481086 -0.490672
40.130000 2.13695 -20.5483 -4.22254 0.971431 0.591726 -0.387756
40.140000 2.57978 -20.1779 -4.41535 0.574086 0.700981 -0.285228
40.150000 2.79392 -19.745 -4.54918 0.172099 0.810592 -0.181642
40.160000 2.77478 -19.2486 -4.62294 -0.241529 0.922634 -0.0751676
40.170000 2.51333 -18.6868 -4.63435 -0.675198 1.03955 0.0364008
40.180000 1.99532 -18.0559 -4.57976 -1.13892 1.16422 0.155685
40.190000 1.20028 -17.3506 -4.4539 -1.64424 1.29994 0.28567
40.200000 0.101019 -16.5635 -4.24981 -2.20247 1.45003 0.429215
40.210000 -1.33456 -15.6859 -3.95927 -2.81738 1.61595 0.587112
40.220000 -3.13366 -14.7098 -3.57554 -3.46209 1.79136 0.75209
40.230000 -5.28771 -13.6363 -3.10126 -4.0283 1.94881 0.89592
40.240000 -7.69288 -12.4909 -2.56366 -4.29775 2.03176 0.962767
40.250000 -10.1227 -11.3312 -2.02093 -4.10852 1.99697 0.912624
40.260000 -12.3339 -10.22 -1.53458 -3.57225 1.87182 0.775849
40.270000 -14.1938 -9.19221 -1.13709 -2.91416 1.71428 0.610607
40.280000 -15.6755 -8.2551 -0.833869 -2.26464 1.5585 0.449836
40.290000 -16.7981 -7.40393 -0.61894 -1.66232 1.41482 0.302797
40.300000 -17.5895 -6.63149 -0.484364 -1.10706 1.28334 0.168901
40.310000 -18.0735 -5.93157 -0.423527 -0.587404 1.16106 0.0447701
40.320000 -18.2668 -5.29994 -0.431927 -0.0898781 1.04438 -0.0734174
40.330000 -18.1782 -4.73442 -0.507235 0.398831 0.929705 -0.189394
40.340000 -17.8089 -4.23489 -0.64924 0.892024 0.813404 -0.306858
40.350000 -17.1524 -3.80337 -0.859895 1.40391 0.691615 -0.429715
40.360000 -16.1935 -3.44424 -1.14353 1.95079 0.559937 -0.562389
40.370000 -14.9066 -3.1646 -1.5072 2.55199 0.413204 -0.710043
40.380000 -13.2547 -2.97469 -1.96111 3.22857 0.245828 -0.878227
40.390000 -11.1901 -2.8875 -2.51814 3.99198 0.0547552 -1.06988
40.400000 -8.67114 -2.91455 -3.18959 4.79728 -0.14845 -1.27311
40.410000 -5.72437 -3.04973 -3.96891 5.42864 -0.308103 -1.43166
40.420000 -2.55899 -3.23982 -4.80205 5.50403 -0.325565 -1.44643
40.430000 0.462533 -3.39194 -5.59536 4.96805 -0.18615 -1.30342
40.440000 3.08864 -3.44154 -6.2841 4.18757 0.0157993 -1.09802
40.450000 5.26563 -3.37513 -6.85498 3.42382 0.212727 -0.898125
40.460000 7.02861 -3.20222 -7.3178 2.74471 0.386898 -0.721402
40.470000 8.42603 -2.93589 -7.68581 2.14482 0.539628 -0.566394
40.480000 9.49767 -2.58695 -7.96997 1.60406 0.67614 -0.427766
40.490000 10.2717 -2.16321 -8.17813 1.10315 0.801515 -0.300351
40.500000 10.7663 -1.66978 -8.31545 0.626018 0.920042 -0.179781
40.510000 10.991 -1.10953 -8.38474 0.159158 1.03536 -0.0623337
40.520000 10.9484 -0.483333 -8.38683 -0.309423 1.15073 0.0553421
40.530000 10.634 0.209711 -8.32067 -0.791037 1.26921 0.176453
40.540000 10.0373 0.972235 -8.18337 -1.2966 1.39373 0.30415
40.550000 9.14177 1.80845 -7.97032 -1.83561 1.52679 0.441286
40.560000 7.9267 2.72362 -7.6756 -2.41152 1.66918 0.589268
40.570000 6.37407 3.72221 -7.29359 -3.00833 1.81651 0.744634
40.580000 4.48726 4.80298 -6.82381 -3.561 1.95152 0.891375
40.590000 2.32924 5.94902 -6.28075 -3.92482 2.0366 0.992617
40.600000 0.0586556 7.11887 -5.70364 -3.93391 2.02967 1.00484
40.610000 -2.10769 8.25678 -5.14749 -3.57813 1.92987 0.923533
40.620000 -4.00305 9.32087 -4.65546 -3.01963 1.78018 0.789067
40.630000 -5.55961 10.295 -4.24564 -2.41439 1.62078 0.641469
40.640000 -6.7751 11.1799 -3.91915 -1.83542 1.4699 0.499906
40.650000 -7.67156 11.9819 -3.67063 -1.30142 1.33172 0.369521
40.660000 -8.27451 12.7081 -3.49367 -0.80965 1.20499 0.249788
40.670000 -8.60575 13.3643 -3.38277 -0.351416 1.08702 0.138528
40.680000 -8.68183 13.9549 -3.33377 0.0825626 0.975054 0.0333576
40.690000 -8.51418 14.4823 -3.3438 0.500579 0.866608 -0.0678755
40.700000 -8.10991 14.9482 -3.41114 0.909624 0.75956 -0.16698
40.710000 -7.47247 15.3527 -3.53501 1.31529 0.652153 -0.265374
40.720000 -6.6026 15.6952 -3.71528 1.72141 0.543066 -0.36397
40.730000 -5.49954 15.9745 -3.95216 2.12917 0.431649 -0.462914
40.740000 -4.16304 16.1895 -4.2456 2.53514 0.318417 -0.561064
40.750000 -2.59691 16.3395 -4.59433 2.92796 0.205934 -0.655129
40.760000 -0.814772 16.4267 -4.99433 3.28402 0.100003 -0.738609
40.770000 1.15206 16.4572 -5.43678 3.56526 0.0104107 -0.801387
40.780000 3.24762 16.4441 -5.90644 3.72598 -0.0506118 -0.831778
40.790000 5.3922 16.4066 -6.38219 3.73336 -0.0735897 -0.822012
40.800000 7.49651 16.3672 -6.84096 3.58896 -0.0576652 -0.773622
40.810000 9.48254 16.3464 -7.26325 3.32818 -0.0109908 -0.696778
40.820000 11.2971 16.3582 -7.63643 2.99811 0.0546774 -0.604215
40.830000 12.9124 16.4107 -7.95458 2.63746 0.12928 -0.506041
40.840000 14.3183 16.5068 -8.21641 2.27032 0.20632 -0.408311
40.850000 15.5151 16.6469 -8.42311 1.90883 0.28236 -0.313877
40.860000 16.5076 16.8299 -8.5769 1.55766 0.355939 -0.223642
40.870000 17.3022 17.0543 -8.68017 1.21751 0.426697 -0.137486
40.880000 17.9047 17.3184 -8.73511 0.88717 0.494823 -0.0548128
40.890000 18.3203 17.6209 -8.7435 0.56467 0.560751 0.0251591
40.900000 18.5528 17.9606 -8.70664 0.247849 0.624987 0.103252
40.910000 18.605 18.3368 -8.62539 -0.0652936 0.68801 0.180245
40.920000 18.4784 18.7489 -8.50017 -0.376361 0.750196 0.256824
40.930000 18.1739 19.1964 -8.33107 -0.686289 0.811736 0.333508
40.940000 17.6922 19.6789 -8.11793 -0.994972 0.872527 0.410563
40.950000 17.0343 20.196 -7.86055 -1.3007 0.932024 0.487853
40.960000 16.203 20.7465 -7.55898 -1.59934 0.989024 0.564623
40.970000 15.2044 21.3284 -7.21395 -1.88339 1.04143 0.639218
40.980000 14.0498 21.9384 -6.82744 -2.14109 1.08607 0.708823
40.990000 12.7589 22.5707 -6.40342 -2.35648 1.11877 0.769391
41.000000 11.3611 23.2172 -5.94843 -2.51137 1.13495 0.81608
41.010000 9.89574 23.8674 -5.47178 -2.58994 1.13087 0.844385
41.020000 8.40938 24.5089 -4.98487 -2.58437 1.1051 0.851666
41.030000 6.94972 25.1299 -4.49983 -2.49828 1.05921 0.838179
41.040000 5.55939 25.7196 -4.0278 -2.34518 0.997199 0.806873
41.050000 4.27166 26.2704 -3.57778 -2.14327 0.924096 0.762143
41.060000 3.10932 26.7773 -3.15616 -1.91017 0.844521 0.708451
41.070000 2.08603 27.2376 -2.76696 -1.65981 0.761986 0.649462
41.080000 1.20874 27.6504 -2.41243 -1.40184 0.678788 0.587791
41.090000 0.479959 28.0156 -2.09359 -1.14214 0.596223 0.525107
41.100000 -0.100349 28.3338 -1.81071 -0.883923 0.514877 0.462361
41.110000 -0.533496 28.6059 -1.56369 -0.628571 0.434882 0.400017
41.120000 -0.82124 28.8324 -1.35222 -0.376347 0.356089 0.33822
41.130000 -0.96528 29.0141 -1.17602 -0.126841 0.278193 0.276924
41.140000 -0.96696 29.1513 -1.03483 0.120729 0.2008 0.215975
41.150000 -0.827122 29.2442 -0.928503 0.367316 0.123485 0.155165
41.160000 -0.546046 29.2927 -0.857033 0.613905 0.0458153 0.0942818
41.170000 -0.123469 29.2966 -0.820513 0.861375 -0.0326111 0.0331438
41.180000 0.441306 29.2551 -0.819122 1.11034 -0.112131 -0.0283481
41.190000 1.1492 29.1678 -0.853058 1.36093 -0.192961 -0.0901483
41.200000 2.001 29.0338 -0.922431 1.61245 -0.275106 -0.151973
41.210000 2.99673 28.8524 -1.02709 1.86285 -0.358229 -0.213167
41.220000 4.13469 28.6233 -1.16636 2.10803 -0.441453 -0.27252
41.230000 5.41003 28.3468 -1.33865 2.34094 -0.523109 -0.328054
41.240000 6.81282 28.0246 -1.541 2.55074 -0.600482 -0.376851
41.250000 8.32576 27.6602 -1.76847 2.72268 -0.669713 -0.415071
41.260000 9.92224 27.2596 -2.01379 2.83948 -0.726115 -0.438414
41.270000 11.5659 26.8315 -2.26729 2.88517 -0.765117 -0.443141
41.280000 13.2129 26.3868 -2.51766 2.85024 -0.783662 -0.427398
41.290000 14.8168 25.9375 -2.7533 2.73552 -0.781344 -0.392072
41.300000 16.3344 25.495 -2.96384 2.55177 -0.760469 -0.340515
41.310000 17.7308 25.0689 -3.14128 2.31539 -0.725045 -0.277318
41.320000 18.9808 24.6661 -3.28026 2.04328 -0.679413 -0.206942
41.330000 20.0681 24.2915 -3.37772 1.74932 -0.627281 -0.132883
41.340000 20.9831 23.948 -3.43227 1.44324 -0.571335 -0.0574458
41.350000 21.7208 23.6372 -3.44353 1.13093 -0.513275 0.0181101
41.360000 22.2785 23.3601 -3.41159 0.815371 -0.454011 0.0933055
41.370000 22.6547 23.1171 -3.33667 0.497434 -0.39388 0.168196
41.380000 22.8479 22.9089 -3.21883 0.176627 -0.332835 0.243191
41.390000 22.8563 22.736 -3.05785 -0.148451 -0.270569 0.318925
41.400000 22.6766 22.5992 -2.85308 -0.479768 -0.206621 0.396181
41.410000 22.3049 22.4996 -2.60341 -0.819564 -0.140461 0.475815
41.420000 21.7354 22.4387 -2.30722 -1.16999 -0.0716012 0.558672
41.430000 20.9618 22.4181 -1.96247 -1.53249 0.000226176 0.64543
41.440000 19.9771 22.4395 -1.56682 -1.90657 0.0747438 0.736298
41.450000 18.7757 22.5041 -1.1181 -2.28763 0.150546 0.830433
41.460000 17.3566 22.6116 -0.615121 -2.66323 0.224157 0.924957
41.470000 15.7296 22.7592 -0.0592666 -3.00827 0.288862 1.01362
41.480000 13.9229 22.939 0.5433 -3.28232 0.334212 1.08595
41.490000 11.9912 23.1362 1.17952 -3.43703 0.348156 1.12895
41.500000 10.014 23.3303 1.82943 -3.43801 0.322784 1.13279
41.510000 8.08079 23.4988 2.46994 -3.28702 0.259713 1.09688
41.520000 6.26958 23.6227 3.08041 -3.0199 0.169036 1.02985
41.530000 4.63348 23.6896 3.64641 -2.68311 0.0630388 0.943585
41.540000 3.20106 23.6938 4.15991 -2.31386 -0.0487979 0.847948
41.550000 1.98382 23.6336 4.61749 -1.93462 -0.16099 0.749086
41.560000 0.98398 23.5097 5.01828 -1.55602 -0.271149 0.650042
41.570000 0.199983 23.3234 5.36255 -1.1813 -0.378784 0.551854
41.580000 -0.370257 23.0761 5.6508 -0.809472 -0.484452 0.454396
41.590000 -0.727534 22.7684 5.88324 -0.43723 -0.589286 0.356867
41.600000 -0.870298 22.4007 6.05949 -0.0597793 -0.694779 0.258044
41.610000 -0.793907 21.9718 6.17839 0.328859 -0.802725 0.156367
41.620000 -0.489951 21.4799 6.23777 0.735882 -0.915232 0.0499515
41.630000 0.0544886 20.9217 6.2343 1.16985 -1.03478 -0.0634321
41.640000 0.857613 20.2923 6.16327 1.64056 -1.16419 -0.186305
41.650000 1.94334 19.5852 6.01853 2.15774 -1.30634 -0.321099
41.660000 3.34001 18.7926 5.79284 2.72562 -1.46276 -0.468722
41.670000 5.07335 17.907 5.4798 3.32656 -1.62942 -0.624277
41.680000 7.14424 16.927 5.07965 3.88341 -1.78694 -0.767491
41.690000 9.48223 15.8695 4.61111 4.22346 -1.89071 -0.853971
41.700000 11.9068 14.7801 4.12087 4.16768 -1.89334 -0.838962
41.710000 14.186 13.7186 3.66783 3.74113 -1.79964 -0.730786
41.720000 16.1602 12.7268 3.29153 3.13608 -1.65871 -0.57966
41.730000 17.7751 11.8192 3.00427 2.50384 -1.50999 -0.424136
41.740000 19.0359 10.9948 2.80345 1.90442 -1.36949 -0.278983
41.750000 19.9658 10.2477 2.68217 1.3483 -1.24014 -0.146302
41.760000 20.5879 9.57189 2.63385 0.828351 -1.12018 -0.0237924
41.770000 20.9197 8.96286 2.65361 0.332885 -1.00652 0.0919398
41.780000 20.9717 8.41794 2.73858 -0.150495 -0.895824 0.204409
41.790000 20.7472 7.9364 2.88789 -0.634283 -0.784711 0.317121
41.800000 20.2422 7.51949 3.10272 -1.13166 -0.669598 0.433734
41.810000 19.445 7.17062 3.38643 -1.65751 -0.546465 0.558328
41.820000 18.3341 6.89571 3.74494 -2.22947 -0.41059 0.695671
